Step	Training Loss
1	2.981100
2	3.156200
3	2.682000
4	2.924400
5	3.237900
6	2.792000
7	2.747600
8	2.225300
9	2.329900
10	2.232300
11	2.579200
12	2.387700
13	2.128700
14	1.987300
15	1.824800
16	1.709500
17	1.645900
18	1.943500
19	1.681600
20	2.035300
21	2.037100
22	1.259100
23	1.281700
24	1.283200
25	1.595100
26	1.381800
27	1.084300
28	1.394000
29	1.207900
30	0.750200
31	0.807000
32	0.802100
33	0.663900
34	0.724200
35	0.464300
36	0.326600
37	0.404900
38	0.360000
39	0.398800
40	0.398300
41	0.325100
42	0.285100
43	0.165200
44	0.185400
45	0.206700
46	0.125900
47	0.073200
48	0.063600
49	0.079100
50	0.024100
51	0.016100
52	0.033200
53	0.049200
54	0.044600
55	0.035200
56	0.131300
57	0.006200
58	0.051600
59	0.114200
60	0.042200
61	0.037600
62	0.012600
63	0.073000
64	0.009500
65	0.020800
66	0.013100
67	0.041200
68	0.007300
69	0.004000
70	0.040400
71	0.006100
72	0.010100
73	0.006800
74	0.004000
75	0.039100
76	0.003600
77	0.002800
78	0.006200
79	0.002500
80	0.002400
81	0.020300
82	0.002900
83	0.002700
84	0.001900
85	0.002000
86	0.002100
87	0.004900
88	0.001400
89	0.001800
90	0.002300
91	0.001500
92	0.001500
93	0.001300
94	0.001400
95	0.001600
96	0.001200
97	0.002000
98	0.001600
99	0.001300
100	0.001500
101	0.001300
102	0.001100
103	0.001500
104	0.001100
105	0.000900
106	0.001300
107	0.001300
108	0.001000
109	0.001000
110	0.001200
111	0.001000
112	0.001000
113	0.001000
114	0.001100
115	0.001200
116	0.000800
117	0.001000
118	0.001000
119	0.001800
120	0.000800
121	0.000800
122	0.000900
123	0.001000
124	0.001100
125	0.001000
126	0.000800
127	0.001000
128	0.000700
129	0.001000
130	0.000800
131	0.000900
132	0.000800
133	0.001700
134	0.000900
135	0.000900
136	0.000800
137	0.000800
138	0.001000
139	0.000800
140	0.000800
